,XCOORD,YCOORD,ZCOORD,DEMAND,READY_Time,DUE_Time,SERVICE_TIME
0,40.0,50.0,0.08340440094051481,0,0,1236,0
1,45.0,68.0,0.14406489868843161,10,890,989,90
2,45.0,70.0,2.2874963468977327e-05,30,816,879,90
3,42.0,66.0,0.060466514526367955,10,55,156,90
4,42.0,68.0,0.02935117816342261,10,703,806,90
5,42.0,65.0,0.01846771895375956,10,15,60,90
6,40.0,69.0,0.03725204227553418,20,559,764,90
7,40.0,66.0,0.06911214540860955,20,172,223,90
8,38.0,68.0,0.07935349484613398,20,250,329,90
9,38.0,70.0,0.10776334680067139,10,489,650,90
10,35.0,66.0,0.08383890288065897,10,361,406,90
11,35.0,69.0,0.13704390007935188,10,450,503,90
12,25.0,85.0,0.04089044994630348,20,647,726,90
13,22.0,75.0,0.17562348727818908,30,30,95,90
14,22.0,85.0,0.005477518639585233,10,571,616,90
15,20.0,80.0,0.13409350203568043,40,392,421,90
16,20.0,85.0,0.08346096047342538,40,478,525,90
17,18.0,75.0,0.11173796568915033,20,105,142,90
18,15.0,75.0,0.028077387719046755,20,172,261,90
19,15.0,80.0,0.03962029781697576,10,274,349,90
20,30.0,50.0,0.16014891373510734,10,10,77,90
21,30.0,52.0,0.19365231514387948,20,918,961,90
22,28.0,52.0,0.06268483563184857,20,806,889,90
23,28.0,55.0,0.13846452313386282,10,739,770,90
24,25.0,50.0,0.17527783045920764,10,55,154,90
25,25.0,52.0,0.17892133270076946,40,172,221,90
26,25.0,55.0,0.017008842273955584,10,612,711,90
27,23.0,52.0,0.007810956646576472,10,264,313,90
28,23.0,55.0,0.03396608391291378,20,553,586,90
29,20.0,50.0,0.17562850068588262,10,365,398,90
30,20.0,55.0,0.01966936676661002,10,452,501,90
31,10.0,35.0,0.08422152500101043,20,204,233,90
32,10.0,40.0,0.1915779060301004,30,31,189,90
33,8.0,40.0,0.1066330569946034,40,42,203,90
34,8.0,45.0,0.13837542279009465,20,715,852,90
35,5.0,35.0,0.06310312620121258,10,251,376,90
36,5.0,45.0,0.13730018553631676,10,648,733,90
37,2.0,40.0,0.16692513437947457,20,365,452,90
38,0.0,40.0,0.003657655468838361,30,474,527,90
39,0.0,45.0,0.15002886298899348,20,541,650,90
40,35.0,30.0,0.19777221778129894,10,240,345,90
41,35.0,32.0,0.14963313087596788,10,123,278,90
42,33.0,32.0,0.05608879841288103,20,19,225,90
43,33.0,35.0,0.1578558656902977,10,16,153,90
44,32.0,30.0,0.020645201315528404,10,338,433,90
45,30.0,30.0,0.08957870523518104,10,513,628,90
46,30.0,32.0,0.18171910061861912,30,415,542,90
47,30.0,35.0,0.058722829674735896,10,872,1127,90
48,28.0,30.0,0.05755506771726975,10,599,726,90
49,28.0,35.0,0.026005714423655533,10,917,1126,90
50,26.0,32.0,0.003873391574059415,10,779,916,90
51,25.0,30.0,0.1357671065879782,10,695,816,90
52,25.0,35.0,0.042325623200011805,10,857,1024,90
53,44.0,5.0,0.05310933187444525,20,221,412,90
54,42.0,10.0,0.09831463185606766,40,96,347,90
55,42.0,15.0,0.010672509023416077,10,35,233,90
56,40.0,5.0,0.1148235210984026,30,347,474,90
57,40.0,15.0,0.02934571498116203,40,35,172,90
58,38.0,5.0,0.11786110738065685,30,403,602,90
59,38.0,15.0,0.13995167200418623,10,521,870,90
60,35.0,5.0,0.020466885765565167,20,487,704,90
61,50.0,30.0,0.08281119756391367,10,422,719,90
62,50.0,35.0,0.13888003154554904,20,217,362,90
63,50.0,40.0,0.08283585390538054,50,142,247,90
64,48.0,30.0,0.009990691789217432,10,567,758,90
65,48.0,40.0,0.10717928118310231,10,34,171,90
66,47.0,35.0,0.13275892904395775,10,794,907,90
67,47.0,40.0,0.10297782241166172,10,12,226,90
68,45.0,30.0,0.18891895119816265,10,716,795,90
69,45.0,35.0,0.11731100810039859,10,873,1012,90
70,95.0,30.0,0.1806803830575767,30,266,577,90
